FCODE,COD,NA2,NA3,NAM,AREA_KM,PERIMETRO,Shape_Leng,Shape_Area
FA003,1,LA UNION,14,La Union,1974.13,388.46,3.54644522862,0.164834848253
FA003,1,USULUTAN,11,Usulutan,2110.72,314.53,2.87747140357,0.176131985803
FA003,1,SAN MIGUEL,12,San Miguel,2131.09,355.65,3.24676216291,0.177952968854
FA003,1,LA PAZ,08,La Paz,1225.57,174.89,1.59929484267,0.102312355248
FA003,1,LA LIBERTAD,05,La Libertad,1635.53,301.03,2.75080798425,0.136664757479
FA003,1,MORAZAN,13,Morazan,1315.37,205.37,1.87699162034,0.109943484381
FA003,1,SAN SALVADOR,06,San Salvador,901.59,228.3,2.08427573376,0.0753574388434
FA003,1,SAN VICENTE,10,San Vicente,1201.36,229.21,2.09318007285,0.100344420347
FA003,1,SONSONATE,03,Sonsonate,1234.64,211.46,1.93544134361,0.103161802665
FA003,1,CUSCATLAN,07,Cuscatlan,747.36,171.53,1.56766994494,0.0624861424356
FA003,1,AHUACHAPAN,01,Ahuachapan,1192.7,193.09,1.76611822257,0.0997253233414
FA003,1,CABAÃAS,09,CabaÃ±as,1097.44,187.22,1.71455599752,0.0917687652796
FA003,1,SANTA ANA,02,Santa Ana,2029.88,303.36,2.7737231358,0.169914904369
FA003,1,CHALATENANGO,04,Chalatenango,2000.47,317.81,2.91175439133,0.167469076498
FA003,1,ZONAS DE FRONTERAS,N_A,Zona En Proceso De Demarcacion,289.58,224.38,2.05621353471,0.0242187028644
