FCODE,COD,NA2,NA3,NAM,AREA_KM,PERIMETRO,Shape_Leng,Shape_Area
FA003,1,LA UNION,14,La Union,1.97413000000e+03,3.88460000000e+02,3.54644522862e+00,1.64834848253e-01
FA003,1,USULUTAN,11,Usulutan,2.11072000000e+03,3.14530000000e+02,2.87747140357e+00,1.76131985803e-01
FA003,1,SAN MIGUEL,12,San Miguel,2.13109000000e+03,3.55650000000e+02,3.24676216291e+00,1.77952968854e-01
FA003,1,LA PAZ,08,La Paz,1.22557000000e+03,1.74890000000e+02,1.59929484267e+00,1.02312355248e-01
FA003,1,LA LIBERTAD,05,La Libertad,1.63553000000e+03,3.01030000000e+02,2.75080798425e+00,1.36664757479e-01
FA003,1,MORAZAN,13,Morazan,1.31537000000e+03,2.05370000000e+02,1.87699162034e+00,1.09943484381e-01
FA003,1,SAN SALVADOR,06,San Salvador,9.01590000000e+02,2.28300000000e+02,2.08427573376e+00,7.53574388434e-02
FA003,1,SAN VICENTE,10,San Vicente,1.20136000000e+03,2.29210000000e+02,2.09318007285e+00,1.00344420347e-01
FA003,1,SONSONATE,03,Sonsonate,1.23464000000e+03,2.11460000000e+02,1.93544134361e+00,1.03161802665e-01
FA003,1,CUSCATLAN,07,Cuscatlan,7.47360000000e+02,1.71530000000e+02,1.56766994494e+00,6.24861424356e-02
FA003,1,AHUACHAPAN,01,Ahuachapan,1.19270000000e+03,1.93090000000e+02,1.76611822257e+00,9.97253233414e-02
FA003,1,CABAÃAS,09,CabaÃ±as,1.09744000000e+03,1.87220000000e+02,1.71455599752e+00,9.17687652796e-02
FA003,1,SANTA ANA,02,Santa Ana,2.02988000000e+03,3.03360000000e+02,2.77372313580e+00,1.69914904369e-01
FA003,1,CHALATENANGO,04,Chalatenango,2.00047000000e+03,3.17810000000e+02,2.91175439133e+00,1.67469076498e-01
FA003,1,ZONAS DE FRONTERAS,N_A,Zona En Proceso De Demarcacion,2.89580000000e+02,2.24380000000e+02,2.05621353471e+00,2.42187028644e-02
