FID_L0Coor,Ruta,Cod,Parada_PGO,Latitud,Longitud,NA2,NAM
8796,AB000A1LP,I,AUTOPISTA A COMALAPA CONTIGUO A PLANTEL MIRAFLORES,1.35398445121e+01,-8.91108438649e+01,LA PAZ,La Paz
8873,AB000A1LP,R,AUTOPISTA COMALAPA CONTIGUO A PLANTEL MIRAFLORES,1.35400371330e+01,-8.91111426321e+01,LA PAZ,La Paz
8872,AB000A1LP,R,AUTOPISTA COMALAPA PARADA LAS PLACITAS,1.35450038821e+01,-8.91132588238e+01,LA PAZ,La Paz
8797,AB000A1LP,I,AUTOPISTA A COMALAPA PARADA LAS PLACITAS,1.35450557504e+01,-8.91129446601e+01,LA PAZ,La Paz
8798,AB000A1LP,I,AUTOPISTA A COMALAPA ZONA FRANCA INTERNACIONAL,1.35516459907e+01,-8.91152795210e+01,LA PAZ,La Paz
8871,AB000A1LP,R,AUTOPISTA COMALAPA ZONA FRANCA INTERNACIONAL,1.35516549849e+01,-8.91155894844e+01,LA PAZ,La Paz
8799,AB000A1LP,I,CALLE PRINCIPAL A OLOCUILTA ENTRADA A OLOCUILTA,1.35626988510e+01,-8.91150874010e+01,LA PAZ,La Paz
8870,AB000A1LP,R,CALLE PRINCIPAL A OLOCUILTA ENTRADA A OLOCUILTA,1.35647837696e+01,-8.91157749205e+01,LA PAZ,La Paz
8800,AB000A1LP,I,CALLE PRINCIPAL A OLOCUILTA Y CANTON LOS NARANJOS,1.35659200108e+01,-8.91154129054e+01,LA PAZ,La Paz
8869,AB000A1LP,R,CALLE PRINCIPAL A OLOCUILTA Y CANTON LOS NARANJOS,1.35660066902e+01,-8.91155278861e+01,LA PAZ,La Paz
8801,AB000A1LP,I,CALLE PRINCIPAL A OLOCUILTA Y AVENIDA PRINCIPAL,1.35677747692e+01,-8.91152520799e+01,LA PAZ,La Paz
8868,AB000A1LP,R,CALLE PRINCIPAL A OLOCUILTA Y AVENIDA PRINCIPAL,1.35677747692e+01,-8.91152520799e+01,LA PAZ,La Paz
8802,AB000A1LP,I,FINAL AVENIDA PRINCIPAL Y CARRETERA ANTIGUA A ZACATECOLUCA,1.35695301490e+01,-8.91123605457e+01,LA PAZ,La Paz
8711,MB152X0LL,I,FINAL CALLE PRINCIPAL DE URBANIZACION BRISAS DE ZARAGOZA,1.35727255036e+01,-8.92943612287e+01,LA LIBERTAD,La Libertad
8795,MB152X0LL,R,FINAL CALLE PRINCIPAL DE URBANIZACION BRISAS DE ZARAGOZA,1.35729253888e+01,-8.92946936440e+01,LA LIBERTAD,La Libertad
8712,MB152X0LL,I,CALLE DE ACCESO Y CARRETERA AL PUERTO,1.35738783157e+01,-8.92913653324e+01,LA LIBERTAD,La Libertad
8793,MB152X0LL,R,CALLE DE ACCESO Y CARRETERA AL PUERTO,1.35743069392e+01,-8.92911435467e+01,LA LIBERTAD,La Libertad
8794,MB152X0LL,R,SENDA 1 Y PASAJE 1,1.35753962387e+01,-8.92943518088e+01,LA LIBERTAD,La Libertad
8803,AB000A1LP,I,CARRETERA ANTIGUA A ZACATECOLUCACONTIGUO A INSTITUTO,1.35761821064e+01,-8.91165073226e+01,LA PAZ,La Paz
8867,AB000A1LP,R,CARRETERA ANTIGUA A ZACATECOLUCA CONTIGUO A INSTITUTO,1.35761891808e+01,-8.91165981285e+01,LA PAZ,La Paz
9223,MB017X0SS,R,CALLE DE PANCHIMALCO A ROSARIO DE MORA FRENTE A COMPLEJO EDUCATIVO MANUEL JOSE ARCE,1.35774031667e+01,-8.92040207183e+01,SAN SALVADOR,San Salvador
9188,MB017X0SS,I,CALLE DE ROSARIO DE MORA A PANCHIMALCO FRENTE A COMPLEJO EDUCATIVO MANUEL JOSE ARCE,1.35774319576e+01,-8.92039128299e+01,SAN SALVADOR,San Salvador
9189,MB017X0SS,I,CALLE DE ROSARIO DE MORA A PANCHIMALCO FRENTE A LOTIFICACION LAS PALMERAS,1.35790042631e+01,-8.92013303114e+01,SAN SALVADOR,San Salvador
9222,MB017X0SS,R,CALLE DE PANCHIMALCO A ROSARIO DE MORA FRENTE A ENTRADA PRINCIPAL DE LOTIFICACION LAS PALMERAS,1.35790102499e+01,-8.92013987481e+01,SAN SALVADOR,San Salvador
8804,AB000A1LP,I,CARRETERA ANTIGUA A ZACATECOLUCA PARADA DE LOTIFICACION LAS ROSAS,1.35800809012e+01,-8.91234839654e+01,LA PAZ,La Paz
8866,AB000A1LP,R,CARRETERA ANTIGUA A ZACATECOLUCA PARADA DE LOTIFICACION LAS ROSAS,1.35802106390e+01,-8.91235518200e+01,LA PAZ,La Paz
7474,MB042D0,I,CALLE PRINCIPAL DE CANTON EL ZAITE MOLINO DE NIXTAMAL,1.35838325059e+01,-8.92943058478e+01,LA LIBERTAD,La Libertad
7475,MB042D0,R,CALLE PRINCIPAL COLONIA EL ZAITE 2 FRENTE MOLINO DE NIXTAMASA,1.35838325059e+01,-8.92943058478e+01,LA LIBERTAD,La Libertad
7479,MB042D0,R,CALLE EL ZAITE PARADA EL CHARCO INTERSECCION,1.35841049805e+01,-8.92926584316e+01,LA LIBERTAD,La Libertad
7471,MB042D0,I,CALLE EL ZAITE PARADA EL CHARCO INTERSECCION,1.35843292263e+01,-8.92925726295e+01,LA LIBERTAD,La Libertad
8792,MB152X0LL,R,CARRETERA A SANTA TECLA Y 1 AVENIDA SUR DE ZARAGOZA ENTRADA,1.35850194622e+01,-8.92869694150e+01,LA LIBERTAD,La Libertad
7478,MB042D0,R,ENTRADA DE ACCESO A COLONIA JARDINES DE ZARAGOZA,1.35851123097e+01,-8.92932310389e+01,LA LIBERTAD,La Libertad
7476,MB042D0,R,ENTRADA DE ACCESO A CANTON EL ZAITE IGLESIA CRISTIANA PENIEL,1.35851141881e+01,-8.92938950262e+01,LA LIBERTAD,La Libertad
7473,MB042D0,I,ENTRADA DE ACCESO DE COLONIA EL ZAITE IGLESIA CRISTIANA PENIEL,1.35852369601e+01,-8.92940844848e+01,LA LIBERTAD,La Libertad
7477,MB042D0,R,ENTRADA DE ACCESO A CANTON EL ZAITE,1.35852983460e+01,-8.92933040957e+01,LA LIBERTAD,La Libertad
