FID_L0Coor,Ruta,Cod,Parada_PGO,Latitud,Longitud,NA2,NAM,Municipio
8796,AB000A1LP,I,AUTOPISTA A COMALAPA CONTIGUO A PLANTEL MIRAFLORES,13.5398445121,-89.1108438649,LA PAZ,La Paz,La Paz
8873,AB000A1LP,R,AUTOPISTA COMALAPA CONTIGUO A PLANTEL MIRAFLORES,13.540037133,-89.1111426321,LA PAZ,La Paz,La Paz
8872,AB000A1LP,R,AUTOPISTA COMALAPA PARADA LAS PLACITAS,13.5450038821,-89.1132588238,LA PAZ,La Paz,La Paz
8797,AB000A1LP,I,AUTOPISTA A COMALAPA PARADA LAS PLACITAS,13.5450557504,-89.1129446601,LA PAZ,La Paz,La Paz
8798,AB000A1LP,I,AUTOPISTA A COMALAPA ZONA FRANCA INTERNACIONAL,13.5516459907,-89.115279521,LA PAZ,La Paz,La Paz
8871,AB000A1LP,R,AUTOPISTA COMALAPA ZONA FRANCA INTERNACIONAL,13.5516549849,-89.1155894844,LA PAZ,La Paz,La Paz
8799,AB000A1LP,I,CALLE PRINCIPAL A OLOCUILTA ENTRADA A OLOCUILTA,13.562698851,-89.115087401,LA PAZ,La Paz,La Paz
8870,AB000A1LP,R,CALLE PRINCIPAL A OLOCUILTA ENTRADA A OLOCUILTA,13.5647837696,-89.1157749205,LA PAZ,La Paz,La Paz
8800,AB000A1LP,I,CALLE PRINCIPAL A OLOCUILTA Y CANTON LOS NARANJOS,13.5659200108,-89.1154129054,LA PAZ,La Paz,La Paz
8869,AB000A1LP,R,CALLE PRINCIPAL A OLOCUILTA Y CANTON LOS NARANJOS,13.5660066902,-89.1155278861,LA PAZ,La Paz,La Paz
8801,AB000A1LP,I,CALLE PRINCIPAL A OLOCUILTA Y AVENIDA PRINCIPAL,13.5677747692,-89.1152520799,LA PAZ,La Paz,La Paz
8868,AB000A1LP,R,CALLE PRINCIPAL A OLOCUILTA Y AVENIDA PRINCIPAL,13.5677747692,-89.1152520799,LA PAZ,La Paz,La Paz
8802,AB000A1LP,I,FINAL AVENIDA PRINCIPAL Y CARRETERA ANTIGUA A ZACATECOLUCA,13.569530149,-89.1123605457,LA PAZ,La Paz,La Paz
8711,MB152X0LL,I,FINAL CALLE PRINCIPAL DE URBANIZACION BRISAS DE ZARAGOZA,13.5727255036,-89.2943612287,LA LIBERTAD,La Libertad,La Libertad
8795,MB152X0LL,R,FINAL CALLE PRINCIPAL DE URBANIZACION BRISAS DE ZARAGOZA,13.5729253888,-89.294693644,LA LIBERTAD,La Libertad,La Libertad
8712,MB152X0LL,I,CALLE DE ACCESO Y CARRETERA AL PUERTO,13.5738783157,-89.2913653324,LA LIBERTAD,La Libertad,La Libertad
8793,MB152X0LL,R,CALLE DE ACCESO Y CARRETERA AL PUERTO,13.5743069392,-89.2911435467,LA LIBERTAD,La Libertad,La Libertad
8794,MB152X0LL,R,SENDA 1 Y PASAJE 1,13.5753962387,-89.2943518088,LA LIBERTAD,La Libertad,La Libertad
8803,AB000A1LP,I,CARRETERA ANTIGUA A ZACATECOLUCACONTIGUO A INSTITUTO,13.5761821064,-89.1165073226,LA PAZ,La Paz,La Paz
8867,AB000A1LP,R,CARRETERA ANTIGUA A ZACATECOLUCA CONTIGUO A INSTITUTO,13.5761891808,-89.1165981285,LA PAZ,La Paz,La Paz
