Codigo_Ruta,Tarifa_USD,Tipo_Unidad
AB000A0,0.2,AUTOBUS
AB000A1LP,0.38,AUTOBUS
AB000B0,0.2,AUTOBUS
AB001X0,0.2,AUTOBUS
AB001X0SM,2.0,AUTOBUS
AB001X0SO,0.5,AUTOBUS
AB002A1,0.2,AUTOBUS
AB002A2,0.2,AUTOBUS
AB002B1,0.2,AUTOBUS
AB002B1E,0.35,AUTOBUS
AB002B2,0.2,AUTOBUS
AB002B2E,0.35,AUTOBUS
AB002C0,0.2,AUTOBUS
AB002CE,0.35,AUTOBUS
AB003A0,0.2,AUTOBUS
AB003AE,0.35,AUTOBUS
AB003X0,0.2,AUTOBUS
AB003XE,0.35,AUTOBUS
AB004X0,0.2,AUTOBUS
AB004X0CA,0.75,AUTOBUS
AB004XE,0.35,AUTOBUS
AB005X0,0.2,AUTOBUS
AB005XE,0.35,AUTOBUS
AB006X0CA,1.0,AUTOBUS
AB006X1,0.2,AUTOBUS
AB006X2,0.2,AUTOBUS
AB006X3,0.2,AUTOBUS
AB007C0,0.2,AUTOBUS
AB007D0,0.2,AUTOBUS
AB007X0,0.2,AUTOBUS
AB007XE,0.35,AUTOBUS
AB008A0SS,0.2,AUTOBUS
AB008AESS,0.35,AUTOBUS
AB008X0,0.2,AUTOBUS
AB009X0,0.2,AUTOBUS
AB010X0,0.2,AUTOBUS
AB010XE,0.35,AUTOBUS
AB011X0,0.2,AUTOBUS
AB012X0SS,0.23,AUTOBUS
AB013X0,0.2,AUTOBUS
AB014A0,0.2,AUTOBUS
AB014X0,0.2,AUTOBUS
AB015X0,0.2,AUTOBUS
AB016X0,0.2,AUTOBUS
AB016XE,0.35,AUTOBUS
AB017A0SS,0.29,AUTOBUS
AB017B0SS,0.29,AUTOBUS
AB017B1SS,0.2,AUTOBUS
AB018X0SS,0.23,AUTOBUS
AB019X0,0.2,AUTOBUS
AB020X0,0.2,AUTOBUS
AB021A0SS,0.29,AUTOBUS
AB021AESS,0.35,AUTOBUS
AB021B0SS,0.29,AUTOBUS
AB022X0,0.2,AUTOBUS
AB022XE,0.35,AUTOBUS
AB023A0,0.2,AUTOBUS
AB023AE0,0.35,AUTOBUS
AB023B0,0.2,AUTOBUS
AB024X0,0.2,AUTOBUS
AB025A0SS,0.38,AUTOBUS
AB025X0SS,0.38,AUTOBUS
AB026X0,0.2,AUTOBUS
AB026XE0,0.35,AUTOBUS
AB027X0,0.2,AUTOBUS
AB027XE,0.35,AUTOBUS
AB028X0,0.2,AUTOBUS
AB029A0,0.2,AUTOBUS
AB029AE,0.35,AUTOBUS
AB029C0,0.2,AUTOBUS
AB029C2,0.2,AUTOBUS
AB029C2E,0.35,AUTOBUS
AB029CE,0.35,AUTOBUS
AB029D0,0.2,AUTOBUS
AB029DE,0.35,AUTOBUS
AB029E0,0.2,AUTOBUS
AB029EE,0.35,AUTOBUS
AB029F0,0.2,AUTOBUS
AB029FE,0.35,AUTOBUS
AB029G0,0.2,AUTOBUS
AB029H0,0.2,AUTOBUS
AB029HE,0.35,AUTOBUS
AB029HEX1,0.35,AUTOBUS
AB030B0,0.2,AUTOBUS
AB030BE,0.35,AUTOBUS
AB030X0,0.2,AUTOBUS
AB030X1,0.2,AUTOBUS
AB030X1E,0.35,AUTOBUS
AB031X0,0.2,AUTOBUS
AB031XE,0.35,AUTOBUS
AB032X0,0.2,AUTOBUS
AB033A0,0.2,AUTOBUS
AB034A0,0.2,AUTOBUS
AB034B0,0.2,AUTOBUS
AB035X0,0.2,AUTOBUS
AB036X0,0.29,AUTOBUS
AB037A0SS,0.36,AUTOBUS
AB037A1SS,0.34,AUTOBUS
AB037B0SS,0.36,AUTOBUS
AB038A0,0.29,AUTOBUS
AB038B0,0.29,AUTOBUS
AB038C0,0.29,AUTOBUS
AB039X0,0.38,AUTOBUS
AB041A0,0.2,AUTOBUS
AB041A-1,0.2,AUTOBUS
AB041B0,0.2,AUTOBUS
AB041B-1,0.2,AUTOBUS
AB041C0,0.2,AUTOBUS
AB041D0,0.2,AUTOBUS
AB041D0E,0.35,AUTOBUS
AB041D1,0.2,AUTOBUS
AB041D1E,0.35,AUTOBUS
AB041E0,0.2,AUTOBUS
AB042A0,0.2,AUTOBUS
AB042AE,0.35,AUTOBUS
AB042B0,0.2,AUTOBUS
AB042C0,0.2,AUTOBUS
AB042CE,0.35,AUTOBUS
AB043X0,0.2,AUTOBUS
AB044X1,0.2,AUTOBUS
AB044X1E,0.35,AUTOBUS
AB044X2,0.2,AUTOBUS
AB045B0SS,0.2,AUTOBUS
AB046X1,0.2,AUTOBUS
AB046X2,0.2,AUTOBUS
AB047X0,0.2,AUTOBUS
AB048X0,0.2,AUTOBUS
AB049A0,0.2,AUTOBUS
AB049B0,0.2,AUTOBUS
AB050X0SA,0.2,AUTOBUS
AB050X1SA,0.35,AUTOBUS
AB051A0SA,0.2,AUTOBUS
AB051AESA,0.35,AUTOBUS
AB051B0SA,0.2,AUTOBUS
AB051BESA,0.35,AUTOBUS
AB051C0SA,0.2,AUTOBUS
AB051CESA,0.35,AUTOBUS
AB051D0SA,0.2,AUTOBUS
AB051D1ESA,0.35,AUTOBUS
AB051D1SA,0.2,AUTOBUS
AB051DESA,0.35,AUTOBUS
AB051E0SA,0.2,AUTOBUS
AB051EESA,0.35,AUTOBUS
AB051F0SA,0.2,AUTOBUS
AB051F1ESA,0.35,AUTOBUS
AB051F1SA,0.2,AUTOBUS
AB051FESA,0.35,AUTOBUS
AB052X1,0.2,AUTOBUS
AB052X1E,0.35,AUTOBUS
AB052X2,0.2,AUTOBUS
AB052X2E,0.35,AUTOBUS
AB052X3,0.2,AUTOBUS
AB053A0SO,0.26,AUTOBUS
AB053A1SO,0.2,AUTOBUS
AB053B0SO,0.23,AUTOBUS
AB053C0SO,0.23,AUTOBUS
AB053D0SO,0.26,AUTOBUS
AB053E0SO,0.2,AUTOBUS
AB053F0SO,0.34,AUTOBUS
AB053G0SO,0.23,AUTOBUS
AB053H0SO,0.34,AUTOBUS
AB053I0SO,0.41,AUTOBUS
AB053J0SO,0.26,AUTOBUS
AB053J1SO,0.2,AUTOBUS
AB053K0SO,0.2,AUTOBUS
AB054A0UN,0.2,AUTOBUS
AB054B0UN,0.2,AUTOBUS
AB054X0UN,0.2,AUTOBUS
AB055A0SA,0.2,AUTOBUS
AB055A1SA,0.2,AUTOBUS
AB055A2SA,0.2,AUTOBUS
AB055AE0SA,0.35,AUTOBUS
AB055AE1SA,0.35,AUTOBUS
AB055B0SA,0.2,AUTOBUS
AB055B1ESA,0.35,AUTOBUS
AB055B1SA,0.2,AUTOBUS
AB055B2SA,0.2,AUTOBUS
AB055BE0SA,0.35,AUTOBUS
AB055C0SA,0.2,AUTOBUS
AB055CE0SA,0.35,AUTOBUS
AB055D0SA,0.2,AUTOBUS
AB055DE0SA,0.35,AUTOBUS
AB056X0SO,0.2,AUTOBUS
AB058X0,0.2,AUTOBUS
AB059X0SA,0.31,AUTOBUS
AB059X0SS,0.25,AUTOBUS
AB060X0AH,0.2,AUTOBUS
AB061X0AH,0.2,AUTOBUS
AB062X0AH,0.29,AUTOBUS
AB064X0SO,0.2,AUTOBUS
AB065X0SO,0.2,AUTOBUS
AB066X0CU,0.31,AUTOBUS
AB070X0SV,0.23,AUTOBUS
AB071X0LL,0.2,AUTOBUS
AB072A0SV,0.2,AUTOBUS
AB072B0SV,0.2,AUTOBUS
AB072C0SV,0.2,AUTOBUS
AB072D0SV,0.2,AUTOBUS
AB072E0SV,0.2,AUTOBUS
AB072X0SV,0.2,AUTOBUS
AB073X0SV,1.0,AUTOBUS
AB077X1LL,0.31,AUTOBUS
AB077X2LL,0.31,AUTOBUS
AB077X3LL,0.31,AUTOBUS
AB077X4LL,0.28,AUTOBUS
AB078X0LL,0.25,AUTOBUS
AB079X1ELL,0.75,AUTOBUS
AB079X1LL,0.45,AUTOBUS
AB079X2ELL,0.75,AUTOBUS
AB079X2LL,0.45,AUTOBUS
AB079X3ELL,0.75,AUTOBUS
AB079X3LL,0.45,AUTOBUS
AB079X4ELL,0.75,AUTOBUS
AB079X4LL,0.45,AUTOBUS
AB080A0LL,0.23,AUTOBUS
AB080B0LL,0.23,AUTOBUS
AB081A0UN,0.6,AUTOBUS
AB084X0LL,0.56,AUTOBUS
AB088A0SM,0.2,AUTOBUS
AB088B0SM,0.2,AUTOBUS
AB088BESM,0.35,AUTOBUS
AB088S0SM,0.2,AUTOBUS
AB089A0US,0.22,AUTOBUS
AB089B0US,0.2,AUTOBUS
AB089C0US,0.2,AUTOBUS
AB089E0US,0.22,AUTOBUS
AB089F0US,0.2,AUTOBUS
AB089G0US,0.2,AUTOBUS
AB089H0US,0.2,AUTOBUS
AB089I0US,0.2,AUTOBUS
AB089R0US,0.22,AUTOBUS
AB090A0SM,0.22,AUTOBUS
AB090B0SM,0.2,AUTOBUS
AB090D0SM,0.31,AUTOBUS
AB090F0SM,0.2,AUTOBUS
AB090FA0SM,0.2,AUTOBUS
AB090G0SM,0.25,AUTOBUS
AB090X0SM,0.34,AUTOBUS
AB091X0SM,0.2,AUTOBUS
AB092X0LP,0.22,AUTOBUS
AB092X1LP,0.2,AUTOBUS
AB092X2LP,0.2,AUTOBUS
AB092X3LP,0.2,AUTOBUS
AB092X4LP,0.2,AUTOBUS
AB093A0CU,0.29,AUTOBUS
AB093X0CU,0.31,AUTOBUS
AB094A0SM,0.2,AUTOBUS
AB094X0SM,0.2,AUTOBUS
AB095A0SM,0.2,AUTOBUS
AB095AOSM,0.2,AUTOBUS
AB095X0SM,0.2,AUTOBUS
AB096X0LL,0.41,AUTOBUS
AB097X0,0.2,AUTOBUS
AB098X0LL,0.45,AUTOBUS
AB099A0LL,0.29,AUTOBUS
AB099X0LL,0.56,AUTOBUS
AB099X1LL,0.41,AUTOBUS
AB100X0LL,0.52,AUTOBUS
AB101A1,0.2,AUTOBUS
AB101A2,0.2,AUTOBUS
AB101A2E,0.35,AUTOBUS
AB101B1,0.2,AUTOBUS
AB101B2,0.2,AUTOBUS
AB101C0,0.2,AUTOBUS
AB101D0,0.2,AUTOBUS
AB101D1LL,0.2,AUTOBUS
AB101X1SS,0.3,AUTOBUS
AB102A0LL,0.81,AUTOBUS
AB102B0LL,0.74,AUTOBUS
AB102X0LL,0.59,AUTOBUS
AB102X1LL,0.59,AUTOBUS
AB103A0LL,0.6,AUTOBUS
AB103A1LL,0.45,AUTOBUS
AB103B0LL,0.39,AUTOBUS
AB103B1LL,0.59,AUTOBUS
